movie_imdb_id,person_id,role
tt0000018,1,director
tt0000037,2,director
tt0000039,2,director
tt0000049,2,director
tt0000018,4,director
tt0000026,5,director
tt0000050,6,director
tt0000013,7,director
tt0000033,7,director
tt0000040,7,director
tt0000025,10,director
tt0000046,10,director
tt0000009,12,director
tt0000001,13,director
tt0000023,14,director
tt0000032,14,director
tt0000041,14,director
tt0000036,15,director
tt0000015,18,director
tt0000050,18,director
tt0000033,23,director
tt0000022,24,director
tt0000007,26,director
tt0000034,26,director
tt0000021,27,director
tt0000022,27,director
tt0000004,28,director
tt0000014,28,director
tt0000002,29,director
tt0000005,29,director
tt0000013,29,director
tt0000020,29,director
tt0000047,29,director
tt0000029,31,director
tt0000044,32,director
tt0000016,34,director
tt0000017,35,director
tt0000007,39,director
tt0000001,40,director
tt0000038,40,director
tt0000043,40,director
tt0000050,41,director
tt0000049,44,director
tt0000003,47,director
tt0000029,47,director
tt0000045,48,director
tt0000032,50,director
tt0000036,52,director
tt0000027,53,director
tt0000010,54,director
tt0000023,55,director
tt0000030,55,director
tt0000018,60,director
tt0000006,61,director
tt0000019,62,director
tt0000031,62,director
tt0000020,63,director
tt0000035,64,director
tt0000024,66,director
tt0000038,66,director
tt0000043,66,director
tt0000012,68,director
tt0000009,70,director
tt0000011,73,director
tt0000024,81,director
tt0000024,82,director
tt0000045,82,director
tt0000028,84,director
tt0000045,85,director
tt0000008,90,director
tt0000044,91,director
tt0000022,96,director
tt0000025,96,director
tt0000042,99,director
tt0000008,100,director
tt0000027,100,director
tt0000030,100,director
