id,name,person_type
1,"Robert De Niro",actor
2,"Meryl Streep",actor
3,"Martin Scorsese",director
4,"Steven Spielberg",actor
5,"Clint Eastwood",actor
6,"Angelina Jolie",director
7,"Angelina Jolie",actor
8,"Leonardo DiCaprio",director
9,"Kate Winslet",director
10,"Brad Pitt",director
11,"George Clooney",director
12,"Scarlett Johansson",actor
13,"Tom Hanks",director
14,"Natalie Portman",actor
15,"Johnny Depp",director
16,"Sofia Coppola",director
17,"Quentin Tarantino",actor
18,"Denis Villeneuve",actor
19,"Nicole Kidman",actor
20,"Hugh Jackman",director
21,"Sandra Bullock",director
22,"Robert De Niro",creator
23,"Meryl Streep",actor
24,"Martin Scorsese",director
25,"Steven Spielberg",director
26,"Clint Eastwood",actor
27,"Angelina Jolie",director
28,"Angelina Jolie",actor
29,"Leonardo DiCaprio",director
30,"Kate Winslet",director
31,"Brad Pitt",actor
32,"George Clooney",actor
33,"Scarlett Johansson",director
34,"Tom Hanks",director
35,"Natalie Portman",actor
36,"Johnny Depp",actor
37,"Sofia Coppola",director
38,"Quentin Tarantino",actor
39,"Denis Villeneuve",actor
40,"Nicole Kidman",director
41,"Hugh Jackman",director
42,"Sandra Bullock",actor
43,"Robert De Niro",director
44,"Meryl Streep",actor
45,"Martin Scorsese",director
46,"Steven Spielberg",director
47,"Clint Eastwood",actor
48,"Angelina Jolie",actor
49,"Leonardo DiCaprio",actor
50,"Kate Winslet",creator
51,"Brad Pitt",director
52,"George Clooney",actor
53,"Scarlett Johansson",director
54,"Tom Hanks",director
55,"Natalie Portman",actor
56,"Johnny Depp",actor
57,"Sofia Coppola",actor
58,"Quentin Tarantino",director
59,"Denis Villeneuve",actor
60,"Nicole Kidman",actor
61,"Hugh Jackman",actor
62,"Sandra Bullock",director
63,"Robert De Niro",director
64,"Meryl Streep",director
65,"Martin Scorsese",actor
66,"Steven Spielberg",actor
67,"Clint Eastwood",actor
68,"Angelina Jolie",actor
69,"Leonardo DiCaprio",actor
70,"Kate Winslet",director
71,"Brad Pitt",actor
72,"George Clooney",director
73,"Scarlett Johansson",actor
74,"Tom Hanks",actor
75,"Natalie Portman",actor
76,"Johnny Depp",actor
77,"Sofia Coppola",actor
78,"Quentin Tarantino",director
79,"Denis Villeneuve",actor
80,"Nicole Kidman",director
81,"Hugh Jackman",actor
82,"Sandra Bullock",actor
83,"Robert De Niro",director
84,"Meryl Streep",actor
85,"Martin Scorsese",actor
86,"Steven Spielberg",actor
87,"Clint Eastwood",actor
88,"Angelina Jolie",director
89,"Angelina Jolie",actor
90,"Leonardo DiCaprio",actor
91,"Kate Winslet",director
92,"Brad Pitt",creator
93,"George Clooney",director
94,"Scarlett Johansson",actor
95,"Tom Hanks",director
96,"Natalie Portman",actor
97,"Johnny Depp",actor
98,"Sofia Coppola",actor
99,"Quentin Tarantino",creator
100,"Denis Villeneuve",director
101,"Kate Winslet",creator
102,"Johnny Depp",creator
103,"Robert De Niro",director
104,"Martin Scorsese",creator
105,"Clint Eastwood",creator
106,"Steven Spielberg",creator
107,"Kate Winslet",actor
108,"Sofia Coppola",creator
109,"Sandra Bullock",creator
110,"Steven Spielberg",creator
111,"Nicole Kidman",creator
112,"Angelina Jolie",creator
113,"Brad Pitt",actor
114,"Sofia Coppola",creator
