imdb_key,name,is_actor,is_director,is_creator,total_number_of_movies
1,"Robert De Niro",yes,no,no,0
2,"Meryl Streep",yes,no,no,0
3,"Martin Scorsese",no,yes,no,0
4,"Steven Spielberg",yes,no,no,0
5,"Clint Eastwood",yes,no,no,0
6,"Angelina Jolie",no,yes,no,0
7,"Angelina Jolie",yes,no,no,0
8,"Leonardo DiCaprio",no,yes,no,0
9,"Kate Winslet",no,yes,no,0
10,"Brad Pitt",no,yes,no,0
11,"George Clooney",no,yes,no,0
12,"Scarlett Johansson",yes,no,no,0
13,"Tom Hanks",no,yes,no,0
14,"Natalie Portman",yes,no,no,0
15,"Johnny Depp",no,yes,no,0
16,"Sofia Coppola",no,yes,no,0
17,"Quentin Tarantino",yes,no,no,0
18,"Denis Villeneuve",yes,no,no,0
19,"Nicole Kidman",yes,no,no,0
20,"Hugh Jackman",no,yes,no,0
21,"Sandra Bullock",no,yes,no,0
22,"Robert De Niro",no,no,yes,0
23,"Meryl Streep",yes,no,no,0
24,"Martin Scorsese",no,yes,no,0
25,"Steven Spielberg",no,yes,no,0
26,"Clint Eastwood",yes,no,no,0
27,"Angelina Jolie",no,yes,no,0
28,"Angelina Jolie",yes,no,no,0
29,"Leonardo DiCaprio",no,yes,no,0
30,"Kate Winslet",no,yes,no,0
31,"Brad Pitt",yes,no,no,0
32,"George Clooney",yes,no,no,0
33,"Scarlett Johansson",no,yes,no,0
34,"Tom Hanks",no,yes,no,0
35,"Natalie Portman",yes,no,no,0
36,"Johnny Depp",yes,no,no,0
37,"Sofia Coppola",no,yes,no,0
38,"Quentin Tarantino",yes,no,no,0
39,"Denis Villeneuve",yes,no,no,0
40,"Nicole Kidman",no,yes,no,0
41,"Hugh Jackman",no,yes,no,0
42,"Sandra Bullock",yes,no,no,0
43,"Robert De Niro",no,yes,no,0
44,"Meryl Streep",yes,no,no,0
45,"Martin Scorsese",no,yes,no,0
46,"Steven Spielberg",no,yes,no,0
47,"Clint Eastwood",yes,no,no,0
48,"Angelina Jolie",yes,no,no,0
49,"Leonardo DiCaprio",yes,no,no,0
50,"Kate Winslet",no,no,yes,0
51,"Brad Pitt",no,yes,no,0
52,"George Clooney",yes,no,no,0
53,"Scarlett Johansson",no,yes,no,0
54,"Tom Hanks",no,yes,no,0
55,"Natalie Portman",yes,no,no,0
56,"Johnny Depp",yes,no,no,0
57,"Sofia Coppola",yes,no,no,0
58,"Quentin Tarantino",no,yes,no,0
59,"Denis Villeneuve",yes,no,no,0
60,"Nicole Kidman",yes,no,no,0
61,"Hugh Jackman",yes,no,no,0
62,"Sandra Bullock",no,yes,no,0
63,"Robert De Niro",no,yes,no,0
64,"Meryl Streep",no,yes,no,0
65,"Martin Scorsese",yes,no,no,0
66,"Steven Spielberg",yes,no,no,0
67,"Clint Eastwood",yes,no,no,0
68,"Angelina Jolie",yes,no,no,0
69,"Leonardo DiCaprio",yes,no,no,0
70,"Kate Winslet",no,yes,no,0
71,"Brad Pitt",yes,no,no,0
72,"George Clooney",no,yes,no,0
73,"Scarlett Johansson",yes,no,no,0
74,"Tom Hanks",yes,no,no,0
75,"Natalie Portman",yes,no,no,0
76,"Johnny Depp",yes,no,no,0
77,"Sofia Coppola",yes,no,no,0
78,"Quentin Tarantino",no,yes,no,0
79,"Denis Villeneuve",yes,no,no,0
80,"Nicole Kidman",no,yes,no,0
81,"Hugh Jackman",yes,no,no,0
82,"Sandra Bullock",yes,no,no,0
83,"Robert De Niro",no,yes,no,0
84,"Meryl Streep",yes,no,no,0
85,"Martin Scorsese",yes,no,no,0
86,"Steven Spielberg",yes,no,no,0
87,"Clint Eastwood",yes,no,no,0
88,"Angelina Jolie",no,yes,no,0
89,"Angelina Jolie",yes,no,no,0
90,"Leonardo DiCaprio",yes,no,no,0
91,"Kate Winslet",no,yes,no,0
92,"Brad Pitt",no,no,yes,0
93,"George Clooney",no,yes,no,0
94,"Scarlett Johansson",yes,no,no,0
95,"Tom Hanks",no,yes,no,0
96,"Natalie Portman",yes,no,no,0
97,"Johnny Depp",yes,no,no,0
98,"Sofia Coppola",yes,no,no,0
99,"Quentin Tarantino",no,no,yes,0
100,"Denis Villeneuve",no,yes,no,0
101,"Kate Winslet",no,no,yes,0
102,"Johnny Depp",no,no,yes,0
103,"Robert De Niro",no,yes,no,0
104,"Martin Scorsese",no,no,yes,0
105,"Clint Eastwood",no,no,yes,0
106,"Steven Spielberg",no,no,yes,0
107,"Kate Winslet",yes,no,no,0
108,"Sofia Coppola",no,no,yes,0
109,"Sandra Bullock",no,no,yes,0
110,"Steven Spielberg",no,no,yes,0
111,"Nicole Kidman",no,no,yes,0
112,"Angelina Jolie",no,no,yes,0
113,"Brad Pitt",yes,no,no,0
114,"Sofia Coppola",no,no,yes,0
