id,word
1,historical
2,magical
3,family
4,supernatural
5,epic
6,musical
7,biography
8,spy
9,zombie
10,superhero
11,cyberpunk
12,psychological
13,road
14,sports
15,buddy
16,experimental
17,neo-noir
18,documentary
19,slapstick
20,crime
21,vampire
22,political
23,"found footage"
24,indie
25,robot
26,noir
27,alien
28,satire
29,war
30,medieval
31,mockumentary
32,surreal
33,space
34,dystopian
35,western
36,history
37,mafia
38,samurai
39,animation
40,heist
41,pirate
42,gangster
43,science
44,"martial arts"
45,detective
46,teen
47,post-apocalyptic
48,ninja
49,legal
50,"French Canadian"
